PGN,Label,InDBC
100,Transmission Control 1,J1939 DBC
200,Electronic Brake System #1/1,No
300,Electronic Brake System #2/1,No
400,External Brake Request,J1939 DBC
500,CANopen Application Message #1/1,No
600,CANopen Application Message #2/1,No
700,General Purpose Valve Pressure,J1939 DBC & ISOBUS DBC
800,Auxiliary Input/Output Status 5,J1939 DBC
900,Static Roll Angle Sensor Information,J1939 DBC
A00,Cruise Control / Vehicle Speed 2,J1939 DBC
B00,Advanced Emergency Braking System 2,J1939 DBC
C00,Electronic Engine Controller 16,J1939 DBC
D00,Transmission Control 2,J1939 DBC
E00,Safety Header Message,No
F00,High Voltage Energy Storage Pack 11 Control 1,J1939 DBC
1000,High Voltage Energy Storage Pack 12 Control 1,J1939 DBC
1100,High Voltage Energy Storage Pack 13 Control 1,J1939 DBC
1200,High Voltage Energy Storage Pack 14 Control 1,J1939 DBC
1300,High Voltage Energy Storage Pack 15 Control 1,J1939 DBC
1400,High Voltage Energy Storage Pack 16 Control 1,J1939 DBC
1500,High Voltage Energy Storage Pack 17 Control 1,J1939 DBC
1600,High Voltage Energy Storage Pack 18 Control 1,J1939 DBC
1700,High Voltage Energy Storage Pack 19 Control 1,J1939 DBC
1800,High Voltage Energy Storage Pack 20 Control 1,J1939 DBC
1900,High Voltage Energy Storage Pack 21 Control 1,J1939 DBC
1A00,High Voltage Energy Storage Pack 22 Control 1,J1939 DBC
1B00,High Voltage Energy Storage 1 Control 1,J1939 DBC
1C00,Transmission Control 3,J1939 DBC
1D00,Engine Ignition Controller,J1939 DBC
1E00,Alternator Control,J1939 DBC
1F00,High Voltage Energy Storage Pack 23 Control 1,J1939 DBC
2000,High Voltage Energy Storage Pack 24 Control 1,J1939 DBC
2100,High Voltage Energy Storage Pack 25 Control 1,J1939 DBC
2200,High Voltage Energy Storage Pack 26 Control 1,J1939 DBC
2300,Tractor Implement Management (TIM) Server to TIM Client,No
2400,Tractor Implement Management (TIM) Client to TIM Server,No
2500,CiA 602-2 Multi-PDU,No
2600,Motor/Generator 1 Inverter Control,No
2700,Motor/Generator 2 Inverter Control,No
2800,Motor/Generator 1 Inverter Rate Limits Request 1,J1939 DBC
2900,Motor/Generator 2 Inverter Rate Limits Request 1,J1939 DBC
2A00,High Voltage Energy Storage Pack 1 Control 1,J1939 DBC
2B00,High Voltage Energy Storage Pack 2 Control 1,J1939 DBC
2C00,High Voltage Energy Storage Pack 3 Control 1,J1939 DBC
2D00,High Voltage Energy Storage Pack 4 Control 1,J1939 DBC
2E00,High Voltage Energy Storage Pack 5 Control 1,J1939 DBC
2F00,High Voltage Energy Storage Pack 6 Control 1,J1939 DBC
3000,High Voltage Energy Storage Pack 7 Control 1,J1939 DBC
3100,High Voltage Energy Storage Pack 8 Control 1,J1939 DBC
3200,High Voltage Energy Storage Pack 9 Control 1,J1939 DBC
3300,High Voltage Energy Storage Pack 10 Control 1,J1939 DBC
4C00,Electrified Accessory Engine Coolant Pump Command,J1939 DBC
4F00,Data Transfer Support,J1939 DBC
5000,Monthly Data Transfer,J1939 DBC
5100,Weekly Data Transfer,J1939 DBC
5200,Daily Data Transfer,J1939 DBC
5300,EVSE 1 Control 1,J1939 DBC
5400,Winch Information 3,J1939 DBC
5500,Air Suspension Control 8,J1939 DBC
5600,Motor/Generator 2 Inverter Control 2,J1939 DBC
5700,Motor/Generator 1 Inverter Control 2,J1939 DBC
5800,Hoist Command Information,J1939 DBC
5900,Motor/Generator 2 Inverter Isolation Integrity Request,J1939 DBC
5A00,Motor/Generator 1 Inverter Isolation Integrity Request,J1939 DBC
5B00,Motor/Generator 2 Inverter Limits Request Power,No
5C00,Motor/Generator 2 Inverter Limits Request Mechanical,No
5D00,Motor/Generator 2 Inverter Limits Request DC Side,No
5E00,Motor/Generator 1 Inverter Limits Request DC Side,No
5F00,Motor/Generator 1 Inverter Limits Request Mechanical,No
6000,Motor/Generator 1 Inverter Limits Request Power,No
6100,Personnel Detect Interlock,J1939 DBC
6200,Engine Cylinder Combustion Configuration Feedback,J1939 DBC
6300,Engine Cylinder Combustion Configuration,J1939 DBC
6400,Engine Cylinder Pressure Timing Feedback,J1939 DBC
6500,Engine Cylinder Pressure Timing Configuration,J1939 DBC
6600,Electrified Accessory Generator Coolant Pump Command,J1939 DBC
6700,Electrified Accessory Generator Coolant Fan Command,J1939 DBC
6800,On Board Programming 1,J1939 DBC
6900,Marine Control Information Configuration 1,J1939 DBC
6A00,Marine Control Information 2,J1939 DBC
6B00,Well Stimulation Pump Sensor Calibration Command,J1939 DBC
6C00,CiA 602-2 XCP,No
6D00,Well Stimulation Pump System Configuration Command,J1939 DBC
6E00,Configurable Receive SPNs Command,No
6F00,Authentication Client to Authentication Server,No
7000,Authentication Server to Authentication Client,No
7100,Configurable Transmit PGNs Command,J1939 DBC
7200,Oil Debris Monitor Configuration Command,J1939 DBC
7300,Electrified Accessory Propulsion Motor Coolant Fan 3 Command,J1939 DBC
7400,Electrified Accessory Propulsion Motor Coolant Fan 2 Command,J1939 DBC
7500,Electrified Accessory Propulsion Motor Coolant Fan 1 Command,J1939 DBC
7600,Electrified Accessory Power Electronics Coolant Fan 3 Command,J1939 DBC
7700,Electrified Accessory Power Electronics Coolant Fan 2 Command,J1939 DBC
7800,Electrified Accessory Power Electronics Coolant Fan 1 Command,J1939 DBC
7900,Electrified Accessory Propulsion Motor Oil Pump Command,J1939 DBC
7A00,Electrified Accessory Propulsion Motor Coolant Pump Command,J1939 DBC
7B00,Electrified Accessory Power Electronics Coolant Pump Command,J1939 DBC
7D00,Electrified Accessory Motor Command,J1939 DBC
7E00,Engine Speed Ramp Rate Boundary Request,J1939 DBC
7F00,Tire Sensor Identification Command,J1939 DBC
8000,Hybrid System Control 1,J1939 DBC
8100,Aftertreatment System Control,J1939 DBC
8200,Tire Configuration Command Information,J1939 DBC
8300,Payload Calibration Information Command,J1939 DBC
8400,Aftertreatment 1 Particulate Sensor Control,J1939 DBC
8500,Cab Message 2,J1939 DBC
8600,Switched Power Outputs Command,J1939 DBC
8700,Engine State Requests,J1939 DBC
8800,Radio Beacon Request,J1939 DBC
8900,Running Gear Equipment #2/4,No
8A00,Running Gear Equipment #1/2,No
8B00,CCP Data Transmission Object,No
8C00,CCP Command Receive Object,No
8D00,Sequence Control Client-to-Sequence Control Master,No
8E00,Sequence Control Master-to-Sequence Control Client,No
8F00,Engine Configuration Commands,J1939 DBC
9000,Supplemental Fan Command,J1939 DBC
9100,Vehicle/Chassis Lubrication System 1,J1939 DBC
9200,Aftertreatment 1 Hydrocarbon Doser Information 1,J1939 DBC
9300,NAME Management Message,No
9400,Aftertreatment 1 Diesel Particulate Filter Soot Sensor Calibration,J1939 DBC
9500,Aftertreatment 2 Diesel Particulate Filter Soot Sensor Calibration,J1939 DBC
9600,Low Voltage Disconnect Set Operating Mode,J1939 DBC
9700,Noise Control Status,J1939 DBC
9800,Noise Control 1,J1939 DBC
9900,Joystick Lamp Command Message,J1939 DBC
9A00,General Purpose Message #1/8,No
9B00,Proprietary Method Identification,J1939 DBC
9C00,Auxiliary Input/Output Status 7,J1939 DBC
9D00,Auxiliary Input/Output Status 6,J1939 DBC
9E00,DTC Counts,No
9F00,Immediate Fault Status,No
A000,NTE Status,No
A100,Emission Increasing Auxiliary Emission Control Device Active Time,No
A200,Regulated Exhaust Emission Level Exceedance,No
A300,DTC To Lamp Association,No
A400,Scaled Test Results,No
A500,Auxiliary Input/Output Status 4,J1939 DBC
A600,Auxiliary Input/Output Status 3,J1939 DBC
A700,Auxiliary Input/Output Status 2,J1939 DBC
A800,Text Display,No
A900,Forward Lane Image Command,J1939 DBC
AA00,Client (ECU) to File Server message,No
AB00,File Server to Client (ECU) message,No
AC00,Agricultural Guidance Machine Info,ISOBUS DBC (2022-08)
AD00,Agricultural Guidance System command,ISOBUS DBC (2022-08)
AE00,Tire Pressure Reference Setting,J1939 DBC
AF00,Parameter Locate Message,No
B000,Configuration Identification Message,No
B100,Proprietarily Configurable Message #1,No
B200,Proprietarily Configurable Message #2,No
B300,Proprietarily Configurable Message #3,No
B400,Proprietarily Configurable Message #4,No
B500,Proprietarily Configurable Message #5,No
B600,Proprietarily Configurable Message #6,No
B700,Proprietarily Configurable Message #7,No
B800,Proprietarily Configurable Message #8,No
B900,Proprietarily Configurable Message #9,No
BA00,Proprietarily Configurable Message #10,No
BB00,Proprietarily Configurable Message #11,No
BC00,Proprietarily Configurable Message #12,No
BD00,Proprietarily Configurable Message #13,No
BE00,Proprietarily Configurable Message #14,No
BF00,Proprietarily Configurable Message #15,No
C000,Proprietarily Configurable Message #16,No
C100,Diagnostic Readiness 2,No
C200,Monitor Performance Ratio,No
C300,Individual Clear/Reset Of Active And Previously Active DTC,No
C400,General Purpose Valve command,ISOBUS DBC (2022-08)
C500,General Purpose Valve measured flow,ISOBUS DBC (2022-08)
C600,General Purpose Valve estimated flow,ISOBUS DBC (2022-08)
C700,Extended Transport Protocol - Data Transfer,No
C800,Extended Transport Protocol - Connection Management,No
C900,Request 2,No
CA00,Transfer,No
CB00,Process Data Message,No
CC00,Request for Repetition Rate,ISOBUS DBC (2022-08)
CD00,Reserved for ISO 15765-2,No
CE00,Reserved for ISO 15765-2,No
CF00,Continuous Torque & Speed Limit Request,J1939 DBC
D000,Background lighting level command,J1939 DBC & ISOBUS DBC
D100,Air Suspension Control 6,J1939 DBC
D200,Air Suspension Control 2,J1939 DBC
D300,Calibration Information,No
D400,Data Security,No
D500,Time/Date Adjust,J1939 DBC
D600,Boot Load Data,No
D700,Binary Data Transfer,No
D800,Memory Access Response,No
D900,Memory Access Request,No
DA00,Reserved for ISO 15765-2,No
DB00,Reserved for ISO 15765-2,No
DC00,Anti-theft Status,J1939 DBC
DD00,Anti-theft Request,J1939 DBC
DE00,Reset,J1939 DBC
DF00,Stop Start Broadcast,No
E000,Cab Message 1,J1939 DBC
E100,General Purpose Message #2/1,No
E200,General Purpose Message #1/1,No
E300,Command Non-continuously Monitored Test,No
E400,Running Gear Equipment #1/1,No
E500,Running Gear Equipment #2/1,No
E600,Virtual Terminal-to-Node,No
E700,Node-to-Virtual Terminal,No
E800,ISO Acknowledgment,NMEA DBC
EA00,ISO Request,NMEA DBC (2022)
EB00,"ISO Transport Protocol, Data Transfer",NMEA DBC
EC00,Transport Protocol - Connection Mgmt,No
ED00,Network Layer,No
EE00,ISO Address Claim,NMEA DBC
EF00,Proprietary A,No
F000,Electronic Retarder Controller 1,J1939 DBC
F001,Electronic Brake Controller 1,J1939 DBC
F002,Electronic Transmission Controller 1,J1939 DBC
F003,Electronic Engine Controller 2,J1939 DBC
F004,Electronic Engine Controller 1,J1939 DBC
F005,Electronic Transmission Controller 2,J1939 DBC
F006,Electronic Axle Controller 1,J1939 DBC
F007,Forward Lane Image 1,J1939 DBC
F008,Hydraulic Pressure Governor Info,J1939 DBC
F009,Vehicle Dynamic Stability Control 2,J1939 DBC
F00A,Engine Gas Flow Rate,J1939 DBC
F00B,Electronic Steering Control,J1939 DBC
F00C,Electronic Transmission Controller #8,J1939 DBC
F00D,Land Leveling System Operational Information,J1939 DBC
F00E,Aftertreatment 1 Intake Gas 1,J1939 DBC
F00F,Aftertreatment 1 Outlet Gas 1,J1939 DBC
F010,Aftertreatment 2 Intake Gas 1,J1939 DBC
F011,Aftertreatment 2 Outlet Gas 1,J1939 DBC
F012,Fifth Wheel Smart Systems 1,J1939 DBC
F013,Slope Sensor Information,J1939 DBC
F014,Blade Information,J1939 DBC
F015,Requested Generator Total AC Reactive Power,J1939 DBC
F016,Cylinder Combustion Status,J1939 DBC
F017,Engine Knock Level #1,J1939 DBC
F018,Engine Knock Level #2,J1939 DBC
F019,Engine Knock Level #3,J1939 DBC
F01A,Engine Throttle / Fuel Actuator Control Command,J1939 DBC
F01B,General Purpose Message #1/7,No
F01C,Requested Generator Average Basic AC Quantities,J1939 DBC
F01D,Steering Angle Sensor Information,J1939 DBC
F01E,Generator Control 2,J1939 DBC
F01F,Electronic Brake System #2/6,No
F020,Electronic Brake System #2/5,No
F021,Engine Speed Sensor Information 1,J1939 DBC
F022,Machine Selected Speed,ISOBUS DBC (2022-08)
F023,Aftertreatment 1 SCR Dosing System Information 1,J1939 DBC
F024,Aftertreatment 1 SCR Dosing System Requests 1,J1939 DBC
F025,Aftertreatment 1 SCR Ammonia Information,J1939 DBC
F026,Aftertreatment 2 SCR Dosing System Information 1,J1939 DBC
F027,Aftertreatment 2 SCR Dosing System Requests 1,J1939 DBC
F028,Aftertreatment 2 SCR Ammonia Information,J1939 DBC
F029,Slope Sensor Information 2,J1939 DBC
F02A,Angular Rate Information,J1939 DBC
F02B,Crash Notification,J1939 DBC
F02C,Magnet Status Information 2,J1939 DBC
F02D,Acceleration Sensor,J1939 DBC
F02E,Engine Turbocharger Control,J1939 DBC
F02F,Advanced Emergency Braking System 1,J1939 DBC
F030,Wireless Status,J1939 DBC
F031,Wand Sensor,J1939 DBC
F032,Linear Displacement Sensor,J1939 DBC
F033,Aftertreatment 1 SCR Ammonia Information 2,J1939 DBC
F034,Aftertreatment 2 SCR Ammonia Information 2,J1939 DBC
F036,High Voltage Energy Storage 1 Status 2,J1939 DBC
F037,Engine Turbocharger Blowoff Actuator 1,J1939 DBC
F038,Engine Torque / Fuel Request,J1939 DBC
F039,Engine Air System Information,J1939 DBC
F03A,Engine Cylinder 1 Combustion Information,J1939 DBC
F03B,Engine Cylinder 2 Combustion Information,J1939 DBC
F03C,Engine Cylinder 3 Combustion Information,J1939 DBC
F03D,Engine Cylinder 4 Combustion Information,J1939 DBC
F03E,Engine Cylinder 5 Combustion Information,J1939 DBC
F03F,Engine Cylinder 6 Combustion Information,J1939 DBC
F040,Engine Cylinder 7 Combustion Information,J1939 DBC
F041,Engine Cylinder 8 Combustion Information,J1939 DBC
