"CANID","PGN","Label","D1","D2","D3","D4","D5","D6","D7","D8"
"18EA0003","59904","ISO Request","BE","FE","00","00","FF","FF","FF","FF"
"08FF8300","65411","Proprietary B","E8","03","01","FF","FF","FF","FF","FF"
"0C000003","0",,"01","90","1A","00","F8","F8","FF","FF"
"0CF00400","61444","Electronic Engine Controller 1","F6","7D","83","84","1A","FF","F4","FF"
"18EA0003","59904","ISO Request","BE","FE","00","00","FF","FF","FF","FF"
"18F00A00","61450","Engine Gas Flow Rate","FF","FF","8E","0A","FF","FF","FF","FF"
"18FEBE00","65214","Electronic Engine Controller 4","1A","01","A0","41","FF","FF","FF","FF"
"18EA0003","59904","ISO Request","BE","FE","00","00","FF","FF","FF","FF"
"0CAC1C13","44060",,"24","7D","3D","FF","FF","FF","FF","FF"
"18EA0003","59904","ISO Request","BE","FE","00","00","FF","FF","FF","FF"
"0CFF0303","65283","Proprietary B","64","FF","FF","FF","FF","FF","FF","FF"
"18FEBE00","65214","Electronic Engine Controller 4","1A","01","A0","41","FF","FF","FF","FF"
"18FD7C03","64892","Diesel Particulate Filter Control 1","FF","FF","01","FF","FF","FF","FF","FF"
"08FF8300","65411","Proprietary B","E8","03","01","FF","FF","FF","FF","FF"
"18FD7C03","64892","Diesel Particulate Filter Control 1","FF","FF","01","FF","FF","FF","FF","FF"
"18FF9A00","65434","Proprietary B","37","7D","60","09","84","1A","EB","7C"
"0C000003","0",,"01","90","1A","00","F8","F8","FF","FF"
"18FEBE00","65214","Electronic Engine Controller 4","1A","01","A0","41","FF","FF","FF","FF"
"0CF00400","61444","Electronic Engine Controller 1","F6","7D","83","88","1A","FF","F4","FF"
"18FDCB03","64971","Off-Highway Engine Control Selection","CF","01","F2","FF","FC","FF","FF","FF"
"18EA0003","59904","ISO Request","BE","FE","00","00","FF","FF","FF","FF"
"18FDD000","64976","Intake/Exhaust Conditions 2","FF","FF","FF","00","33","0F","04","33"
"18FEBE00","65214","Electronic Engine Controller 4","1A","01","A0","41","FF","FF","FF","FF"
"0CF02300","61475","Aftertreatment 1 SCR Dosing System Information 1","00","00","01","FF","FF","0D","FF","FF"
"18FEBE00","65214","Electronic Engine Controller 4","1A","01","A0","41","FF","FF","FF","FF"
"18EA0003","59904","ISO Request","BE","FE","00","00","FF","FF","FF","FF"
"18FEDF00","65247","Electronic Engine Controller 3","7F","90","1A","FF","FF","AA","02","00"
"0C000003","0",,"01","90","1A","00","F8","F8","FF","FF"
"08FF8300","65411","Proprietary B","E8","03","01","FF","FF","FF","FF","FF"
"18FDB400","64948","Aftertreatment 1 Intake Gas 2","81","2E","A6","2D","1F","1F","FF","FF"
"0C000003","0",,"01","90","1A","00","F8","F8","FF","FF"
"18FCE300","64739","Engine Exhaust Brake Control","00","00","00","00","00","00","00","00"
"18FEBE00","65214","Electronic Engine Controller 4","1A","01","A0","41","FF","FF","FF","FF"
"18FD7C03","64892","Diesel Particulate Filter Control 1","FF","FF","01","FF","FF","FF","FF","FF"
"08FF8300","65411","Proprietary B","E8","03","01","FF","FF","FF","FF","FF"
"0CFE3010","65072","Auxiliary valve 0 command","00","00","00","FF","FF","FF","FF","FF"
"08FF8300","65411","Proprietary B","E8","03","01","FF","FF","FF","FF","FF"
"18F00A00","61450","Engine Gas Flow Rate","FF","FF","8F","0A","FF","FF","FF","FF"
"18FDCB03","64971","Off-Highway Engine Control Selection","CF","01","F2","FF","FC","FF","FF","FF"
"18FEBE00","65214","Electronic Engine Controller 4","1A","01","A0","41","FF","FF","FF","FF"
"18FD7C03","64892","Diesel Particulate Filter Control 1","FF","FF","01","FF","FF","FF","FF","FF"
"08FF8300","65411","Proprietary B","E8","03","01","FF","FF","FF","FF","FF"
"18FD7C03","64892","Diesel Particulate Filter Control 1","FF","FF","01","FF","FF","FF","FF","FF"
"18F00A00","61450","Engine Gas Flow Rate","FF","FF","8A","0A","FF","FF","FF","FF"
"18FD7C03","64892","Diesel Particulate Filter Control 1","FF","FF","01","FF","FF","FF","FF","FF"
"18FEBE00","65214","Electronic Engine Controller 4","1A","01","A0","41","FF","FF","FF","FF"
"18EA0003","59904","ISO Request","BE","FE","00","00","FF","FF","FF","FF"
"0CFE3010","65072","Auxiliary valve 0 command","00","00","00","FF","FF","FF","FF","FF"
"18FEBE00","65214","Electronic Engine Controller 4","1A","01","A0","41","FF","FF","FF","FF"
"0CF00400","61444","Electronic Engine Controller 1","F6","7D","84","80","1A","FF","F4","FF"
"18FF9A00","65434","Proprietary B","37","7D","60","09","88","1A","F5","7C"
"0CF00400","61444","Electronic Engine Controller 1","F6","7D","83","88","1A","FF","F4","FF"
"0C000003","0",,"01","90","1A","00","F8","F8","FF","FF"
"18FF9A00","65434","Proprietary B","36","7D","60","09","84","1A","0F","7D"
"1CEC2B00","60459",,"FF","03","FF","FF","FF","00","EF","00"
"0CFE3010","65072","Auxiliary valve 0 command","00","00","00","FF","FF","FF","FF","FF"
"18FF9A00","65434","Proprietary B","E8","03","01","FF","FF","FF","FF","FF"
"0CFE3010","65072","Auxiliary valve 0 command","00","00","00","FF","FF","FF","FF","FF"
"18FDCB03","64971","Off-Highway Engine Control Selection","CF","01","F2","FF","FC","FF","FF","FF"
"18FF9A00","65434","Proprietary B","36","7D","60","09","8C","1A","1F","7D"
"0C000003","0",,"01","90","1A","00","F8","F8","FF","FF"
"18FEF200","65266","Fuel Economy (Liquid)","27","00","FF","FF","FF","FF","00","FF"
"18FECA17","65226","Active Diagnostic Trouble Codes","00","00","00","00","00","00","FF","FF"
"0CAC1C13","44060",,"25","7D","3D","FF","FF","FF","FF","FF"
"18FF9A00","65434","Proprietary B","36","7D","60","09","80","1A","1F","7D"
"18EA0003","59904","ISO Request","BE","FE","00","00","FF","FF","FF","FF"
"18F00A00","61450","Engine Gas Flow Rate","FF","FF","8A","0A","FF","FF","FF","FF"
"18FD7C03","64892","Diesel Particulate Filter Control 1","FF","FF","01","FF","FF","FF","FF","FF"
"18FEBE00","65214","Electronic Engine Controller 4","1A","01","A0","41","FF","FF","FF","FF"
"18EA0003","59904","ISO Request","BE","FE","00","00","FF","FF","FF","FF"
"0CFE3010","65072","Auxiliary valve 0 command","00","00","00","FF","FF","FF","FF","FF"
"08FF8300","65411","Proprietary B","E8","03","01","FF","FF","FF","FF","FF"
"0C000003","0",,"01","90","1A","00","F8","F8","FF","FF"
"18FE6900","65129","Engine Temperature 3","FF","FF","01","28","FF","FF","68","24"
"18FDCB03","64971","Off-Highway Engine Control Selection","CF","01","F2","FF","FC","FF","FF","FF"
"18EA0003","59904","ISO Request","BE","FE","00","00","FF","FF","FF","FF"
"0CFE3010","65072","Auxiliary valve 0 command","00","00","00","FF","FF","FF","FF","FF"
"0C000003","0",,"F6","7D","83","88","1A","FF","F4","FF"
"08FF8300","65411","Proprietary B","E8","03","01","FF","FF","FF","FF","FF"
"18EA0003","59904","ISO Request","BE","FE","00","00","FF","FF","FF","FF"
"08FF8300","65411","Proprietary B","E8","03","01","FF","FF","FF","FF","FF"
"18FDCB03","64971","Off-Highway Engine Control Selection","CF","01","F2","FF","FC","FF","FF","FF"
"0CFE3010","65072","Auxiliary valve 0 command","00","00","00","FF","FF","FF","FF","FF"
"18FF9A00","65434","Proprietary B","36","7D","60","09","88","1A","FA","7C"
"0CFF0303","65283","Proprietary B","64","FF","FF","FF","FF","FF","FF","FF"
"18FD7C03","64892","Diesel Particulate Filter Control 1","FF","FF","01","FF","FF","FF","FF","FF"
"18FF3500","65333","Proprietary B","3D","00","04","74","10","00","F5","2D"
"0C000003","0",,"01","90","1A","00","F8","F8","FF","FF"
"08FF8300","65411","Proprietary B","E8","03","01","FF","FF","FF","FF","FF"
"18FD7C03","64892","Diesel Particulate Filter Control 1","FF","FF","01","FF","FF","FF","FF","FF"
"18FD6E00","64878","Aftertreatment 1 SCR Service Information 1","38","7D","F0","0A","7C","1A","EB","7C"
"18F00A00","61450","Engine Gas Flow Rate","FF","FF","87","0A","FF","FF","FF","FF"
"0CF02300","61475","Aftertreatment 1 SCR Dosing System Information 1","00","00","01","FF","FF","0D","FF","FF"
"18FEBE00","65214","Electronic Engine Controller 4","1A","01","A0","41","FF","FF","FF","FF"
"18E00003","57344","Cab Message 1","02","FF","FF","F7","FF","00","00","FF"
"18FEE900","65257","Fuel Consumption (Liquid) 1","98","04","00","00","98","04","00","00"
"18FEF500","65269","Ambient Conditions","CE","FF","FF","85","23","FF","FF","FF"
"18FED900","65241","Auxiliary Input/Output Status 1","00","00","00","03","FF","FF","FF","FF"
"18FF9A00","65434","Proprietary B","36","7D","60","09","88","1A","F5","7C"
"0CFE1080","65040","Auxiliary valve 0 estimated flow","7D","7D","30","1F","FF","FF","FF","FF"
"18EA0003","59904","ISO Request","BE","FE","00","00","FF","FF","FF","FF"
"18FEBE00","65214","Electronic Engine Controller 4","1A","01","A0","41","FF","FF","FF","FF"
"18FD7C03","64892","Diesel Particulate Filter Control 1","FF","FF","01","FF","FF","FF","FF","FF"
"18FD9200","64914","Engine Operating Information","F4","FF","FF","FF","FF","FF","FF","FF"
"0C000003","0",,"01","90","1A","00","F8","F8","FF","FF"
"18FCE300","64739","Engine Exhaust Brake Control","00","00","00","00","00","00","00","00"
"0C000003","0",,"01","90","1A","00","F8","F8","FF","FF"
"0CFE3010","65072","Auxiliary valve 0 command","00","00","00","FF","FF","FF","FF","FF"
"08FF8300","65411","Proprietary B","E8","03","01","FF","FF","FF","FF","FF"
"18FF3500","65333","Proprietary B","3D","00","04","74","0F","00","F5","2D"
"18FD7C03","64892","Diesel Particulate Filter Control 1","FF","FF","01","FF","FF","FF","FF","FF"
"08FF8300","65411","Proprietary B","E8","03","01","FF","FF","FF","FF","FF"
"0CFE3010","65072","Auxiliary valve 0 command","00","00","00","FF","FF","FF","FF","FF"
"08FF8300","65411","Proprietary B","E8","03","01","FF","FF","FF","FF","FF"
"18FDCB03","64971","Off-Highway Engine Control Selection","CF","01","F2","FF","FC","FF","FF","FF"
"0CF02300","61475","Aftertreatment 1 SCR Dosing System Information 1","00","00","01","FF","FF","0D","FF","FF"
"18FEBE00","65214","Electronic Engine Controller 4","1A","01","A0","41","FF","FF","FF","FF"
"18FF9A00","65434","Proprietary B","36","7D","60","09","88","1A","0F","7D"
"18FF9A00","65434","Proprietary B","36","7D","60","09","90","1A","0F","7D"
"0C000003","0",,"01","90","1A","00","F8","F8","FF","FF"
"08FF8300","65411","Proprietary B","E8","03","01","FF","FF","FF","FF","FF"
"18FDCB03","64971","Off-Highway Engine Control Selection","CF","01","F2","FF","FC","FF","FF","FF"
"18FD7C03","64892","Diesel Particulate Filter Control 1","FF","FF","01","FF","FF","FF","FF","FF"
"0C000003","0",,"01","90","1A","00","F8","F8","FF","FF"
"0CF00400","61444","Electronic Engine Controller 1","F6","7D","83","8C","1A","FF","F4","FF"
"0CAC1C13","44060",,"25","7D","3D","FF","FF","FF","FF","FF"
"0CFF0303","65283","Proprietary B","64","FF","FF","FF","FF","FF","FF","FF"
"0CFE3010","65072","Auxiliary valve 0 command","00","00","00","FF","FF","FF","FF","FF"
"18EA0003","59904","ISO Request","BE","FE","00","00","FF","FF","FF","FF"
"18FF9A00","65434","Proprietary B","36","7D","60","09","80","1A","29","7D"
"0CF02300","61475","Aftertreatment 1 SCR Dosing System Information 1","00","00","01","FF","FF","0D","FF","FF"
"0CFF0303","65283","Proprietary B","64","FF","FF","FF","FF","FF","FF","FF"
"18FD7C03","64892","Diesel Particulate Filter Control 1","FF","FF","01","FF","FF","FF","FF","FF"
"08FF8300","65411","Proprietary B","E8","03","01","FF","FF","FF","FF","FF"
"18FD7C03","64892","Diesel Particulate Filter Control 1","FF","FF","01","FF","FF","FF","FF","FF"
"18FCE300","64739","Engine Exhaust Brake Control","00","00","00","00","00","00","00","00"
"18FD7C03","64892","Diesel Particulate Filter Control 1","FF","FF","01","FF","FF","FF","FF","FF"
"18FEBE00","65214","Electronic Engine Controller 4","1A","01","A0","41","FF","FF","FF","FF"
"18EA0003","59904","ISO Request","BE","FE","00","00","FF","FF","FF","FF"
"18FF3500","65333","Proprietary B","3D","00","04","75","0F","00","F5","2D"
"0CFE3010","65072","Auxiliary valve 0 command","00","00","00","FF","FF","FF","FF","FF"
"0C000003","0",,"01","90","1A","00","F8","F8","FF","FF"
"08FF8300","65411","Proprietary B","E8","03","01","FF","FF","FF","FF","FF"
"08FF8300","65411","Proprietary B","E8","03","01","FF","FF","FF","FF","FF"
"0CFF0303","65283","Proprietary B","64","FF","FF","FF","FF","FF","FF","FF"
"0CFE3010","65072","Auxiliary valve 0 command","00","00","00","FF","FF","FF","FF","FF"
"0CFF0303","65283","Proprietary B","64","FF","FF","FF","FF","FF","FF","FF"
"18FEBE00","65214","Electronic Engine Controller 4","1A","01","A0","41","FF","FF","FF","FF"
"0CFF0303","65283","Proprietary B","64","FF","FF","FF","FF","FF","FF","FF"
"18FF9A00","65434","Proprietary B","35","7D","60","09","88","1A","E5","7C"
"18FD7C03","64892","Diesel Particulate Filter Control 1","FF","FF","01","FF","FF","FF","FF","FF"
"18FEBE00","65214","Electronic Engine Controller 4","1A","01","A0","41","FF","FF","FF","FF"
"18EA0003","59904","ISO Request","BE","FE","00","00","FF","FF","FF","FF"
"18FEF200","65266","Fuel Economy (Liquid)","27","00","FF","FF","FF","FF","00","FF"
"0CF00400","61444","Electronic Engine Controller 1","F6","7D","83","7C","1A","FF","F4","FF"
"0CFF0303","65283","Proprietary B","64","FF","FF","FF","FF","FF","FF","FF"
"18FD7C03","64892","Diesel Particulate Filter Control 1","FF","FF","01","FF","FF","FF","FF","FF"
"18FF9A00","65434","Proprietary B","37","7D","60","09","84","1A","C1","7C"
"0C000003","0",,"01","90","1A","00","F8","F8","FF","FF"
"18FF9A00","65434","Proprietary B","36","7D","60","09","88","1A","C1","7C"
"08FF8300","65411","Proprietary B","E8","03","01","FF","FF","FF","FF","FF"
"18FDCB03","64971","Off-Highway Engine Control Selection","CF","01","F2","FF","FC","FF","FF","FF"
"18FF3500","65333","Proprietary B","3D","00","04","75","0F","00","F5","2D"
"18FEBE00","65214","Electronic Engine Controller 4","1A","01","A0","41","FF","FF","FF","FF"
"18EA0003","59904","ISO Request","BE","FE","00","00","FF","FF","FF","FF"
